Age_Bracket,No_Education_-_Male,Primary_-_Male,Secondary_-_Male,Tertiary_-_Male,No_Education_-_Female,Primary_-_Female,Secondary_-_Female,Tertiary_-_Female,OBJECTID
100+,-0.030017331476237,-0.016886523762752,-0.001247493535599,-0.000230134714893,0.089100736911017,0.006545898533128,1.6414827923e-05,1.0918884211e-05,0
95-99,-0.382403389579858,-0.285780803146301,-0.026987907230894,-0.004827900042946,1.18081034094463,0.147924036057491,0.000827408224232,0.000438214773652,1
90-94,-2.54882694055697,-2.51512375481566,-0.303470813981475,-0.052578490645893,7.16019142357776,1.52335514025017,0.018639539192056,0.007813896980017,2
85-89,-9.02149042220989,-11.6338427191231,-1.77912432933556,-0.295542529331481,24.439686324984,8.7473006557219,0.228265538168297,0.074747481125835,3
80-84,-18.0941746260179,-24.0078195604616,-7.59628903240273,-4.24171678111778,55.9448440819942,19.2713614153927,0.58930334666048,0.454491155952558,4
75-79,-17.0828472231687,-52.1938036410033,-19.7509485120986,-8.79240062372944,75.8099538627715,47.3736392537048,3.72181971558187,3.9545871679418,5
70-74,-30.9853441601478,-90.7256107607565,-38.7711488504975,-24.2078962285982,95.626789039708,114.430196405721,17.3934935476084,9.75952100696208,6
65-69,-41.5635195571603,-130.037812518443,-80.3123791523227,-45.3062887720737,120.574106321393,168.669101016208,59.4419795209168,19.4648131414819,7
60-64,-45.9555229470532,-184.226885851305,-131.835509453363,-47.0820817482783,120.353808294741,212.436330312918,106.327879691281,39.6219817010601,8
55-59,-43.0253685531409,-243.965461094799,-181.676033855339,-71.5031364967209,85.08752185399,304.75796970387,156.868093166817,46.0364152753229,9
50-54,-38.9917803467016,-340.878122216683,-234.897267537505,-86.9828298991112,90.4725326946356,390.811774318574,174.390669157138,60.5150238296519,10
45-49,-52.8558804658082,-499.201969234391,-266.198332450492,-124.36381784931,91.010377521037,523.587822845486,208.808495682798,89.3233039506783,11
40-44,-62.6996777118771,-682.75812577328,-334.044722306211,-176.747474208633,96.3805871199013,704.422285853342,283.542175190447,137.654951836309,12
35-39,-90.651117030377,-803.49983951541,-479.773614711013,-242.715428743199,122.002759922339,837.511393620112,428.707647254143,205.618199203406,13
30-34,-87.2933976782488,-890.172104975214,-634.946054641702,-307.888442704835,108.62237750486,927.438778088613,593.030838751916,280.818005654611,14
25-29,-72.9424557826033,-862.357438516023,-760.958620478315,-319.481485223059,82.5212017151564,881.077014487417,713.202068693761,339.729715103666,15
20-24,-65.9059340199547,-916.291816945066,-1111.97714418584,-244.09510484914,65.6934436118562,901.483912749983,1093.19449360939,273.928150028773,16
15-19,-60.2807907972761,-1489.7208278304,-1267.16838137232,0,51.1726033241645,1329.59686552814,1419.17053114769,0,17
