Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
KEN,2016,UIS.E.2,2261539
KEN,2015,UIS.E.2,2168264
KEN,2014,UIS.E.2,2093208
KEN,2012,UIS.E.2,1917739
KEN,2009,UIS.E.2,1681161
KEN,2008,UIS.E.2,1695011
KEN,2007,UIS.E.2,1523756
KEN,2006,UIS.E.2,1530723
KEN,2005,UIS.E.2,1521580
KEN,2004,UIS.E.2,1458700
KEN,2003,UIS.E.2,1304483
KEN,2002,UIS.E.2,1227519
KEN,2001,UIS.E.2,1166415
KEN,2000,UIS.E.2,1140697
KEN,1999,UIS.E.2,1086171
KEN,1998,UIS.E.2,1091552
KEN,2009,UIS.E.3,1523218
KEN,2008,UIS.E.3,1411908
KEN,2007,UIS.E.3,1205284
KEN,2006,UIS.E.3,1053032
KEN,2005,UIS.E.3,946903
KEN,2004,UIS.E.3,963719
KEN,2003,UIS.E.3,892853
KEN,2002,UIS.E.3,835890
KEN,2001,UIS.E.3,833000
KEN,2000,UIS.E.3,768006
KEN,1999,UIS.E.3,735990
KEN,2016,UIS.E.4,165642
KEN,2012,UIS.E.4,158420
KEN,2009,UIS.E.4,75166
KEN,2008,UIS.E.4,77015
KEN,2007,UIS.E.4,68761
KEN,2006,UIS.E.4,61925
KEN,2002,UIS.E.4,60149
KEN,1999,UIS.E.4,16656
KEN,1998,UIS.E.4,17115
